fsq_id,location_name,name,poi_type,rating,price
4d245c43f39ca1439cca74b8,"001163 - Wardour Street, Soho",Soho Green,['Park'],,
4ba21d45f964a520b5dc37e3,"001163 - Wardour Street, Soho",Gerry's,"['Liquor Store', 'Wine Store']",,
c6ed6703e091472c49e2dffa,"001163 - Wardour Street, Soho",Play 2 Win,['Amusement Park'],,
63cc3ba09e414f402c10edb7,"001163 - Wardour Street, Soho",Play to Win,['Amusement Park'],,
4ad25c1bf964a52025e120e3,"001163 - Wardour Street, Soho",Duke of Wellington,"['Night Club', 'Cocktail Bar', 'Gay Bar']",,
cac32b58d3064281b5c1a3b5,"001163 - Wardour Street, Soho",Funland,"['Amusement Park', 'Arcade']",,
46e312acd7ff42e4216e02f4,"001163 - Wardour Street, Soho",Game One,['Amusement Park'],,
e94c242d22cb4469ca7bdcfc,"001163 - Wardour Street, Soho",Atlantic Amusements,['Amusement Park'],,
500589dfe4b03bef973ee81e,"001163 - Wardour Street, Soho",Burger & Lobster,"['Burger Joint', 'American Restaurant', 'Seafood Restaurant']",,
50659ee9e4b0105355bf4f90,"001163 - Wardour Street, Soho",Bone Daddies,['Ramen Restaurant'],,
54620fab498e04b020e22f14,"001008 - Hatton Wall, Holborn",Pulled,['Food Truck'],,
5f084f2bcd99cc4cc99205b3,"001008 - Hatton Wall, Holborn",NCP London Saffron Hill,['Parking'],,
4ac518bef964a520f2a220e3,"010632 - Kensington Town Hall, Kensington",Elephant & Castle,"['Pub', 'English Restaurant']",,
51a7090d501981ceef878532,"010632 - Kensington Town Hall, Kensington",Kensington Town Hall Car Park,['Parking'],,
5986f09201559a531f964094,"010624 - Strata, Elephant & Castle",Elephant Park,['Park'],,
4dd3c12fcc3f2f060f296dd3,"010624 - Strata, Elephant & Castle",St Mary's Churchyard,['Park'],,
5d338870862fc900082221d1,"010624 - Strata, Elephant & Castle",Pizzeria Pappagone,['Pizzeria'],,
57a5d526cd106ad94ad53e40,"010624 - Strata, Elephant & Castle",Pret a Manger,['Fast Food Restaurant'],,
4e8aff9f9a524097dc4ae04f,"010624 - Strata, Elephant & Castle",Playground,['Playground'],,
4c5ecec72815c9281c78b867,"010624 - Strata, Elephant & Castle",Michael Faraday Memorial,"['Monument', 'Sculpture Garden']",,
5e359481927f370008082178,"010624 - Strata, Elephant & Castle",Nue Ground Elephant & Castle,"['Café', 'Restaurant']",,
5ff0974b03b5f7338f3f94ba,"010624 - Strata, Elephant & Castle",The Nunhead Gardener,['Garden Center'],,
4c9b225478ffa0934b327275,"003429 - Abbey Orchard Street, Westminster",Christchurch Gardens,['Park'],,
4bf40516e5eba593f3211f90,"003429 - Abbey Orchard Street, Westminster",St Ermin's Hotel,['Hotel'],,
4b0c6aa1f964a520cd3c23e3,"003429 - Abbey Orchard Street, Westminster",Flat Cap Coffee Co,"['Café', 'Coffee Shop', 'Restaurant']",,
4ac518dff964a52001aa20e3,"003429 - Abbey Orchard Street, Westminster",Cinnamon Club,['Indian Restaurant'],,
4bed4c1e6e8c20a1ae1f7061,"003429 - Abbey Orchard Street, Westminster",The Laughing Halibut,['Fish and Chips Shop'],,
4b4e0847f964a520f2de26e3,"003429 - Abbey Orchard Street, Westminster",The Feathers,"['Arts and Entertainment', 'Pub', 'Restaurant']",,
4ad4e590f964a52089fc20e3,"003430 - Central House, Aldgate",Altab Ali Park,['Park'],,
55787600498eb83a27455813,"003430 - Central House, Aldgate",Pixxa,"['Pizzeria', 'Fast Food Restaurant', 'Italian Restaurant']",,
4b5a0c40f964a520e8a928e3,"003430 - Central House, Aldgate",Apples & Pears,"['Cocktail Bar', 'Wine Bar', 'Restaurant']",,
56d31ea6498e49c428d44702,"003430 - Central House, Aldgate",Big Moe's Diner,"['Diner', 'American Restaurant']",,
5a6b03b11213847e7327c221,"003430 - Central House, Aldgate",NCP London Whitechapel High St,['Parking'],,
4ae83e74f964a5204bae21e3,"001203 - Eastbourne Mews, Paddington",London Paddington Railway Station (PAD),['Rail Station'],,
4df46d4dfa76abc3d8706f12,"001203 - Eastbourne Mews, Paddington",Paddington Station Public Car Park,['Parking'],,
4bd6e9305631c9b6fa8ca630,"001104 - Claremont Square, Angel",Myddelton Square,['Park'],,
4c5eb5b694fd0f476ed8ce45,"001104 - Claremont Square, Angel",Saint Martin's Church Garden,['Park'],,
e5707be7c61b459d0b562011,"001104 - Claremont Square, Angel",Gameworld,['Amusement Park'],,
4c653793e0c4be9a4e798758,"001104 - Claremont Square, Angel",Delhi Grill,['Indian Restaurant'],,
5a63b227a35dce5151832090,"001104 - Claremont Square, Angel",Masigo,['Korean Restaurant'],,
54181f13498e21780ce72194,"001104 - Claremont Square, Angel",Sally Beauty,['Cosmetics Store'],,
4ac518f9f964a52012b020e3,"001019 - Ampton Street , Clerkenwell",Calthorpe Project,['Public and Social Service'],,
4ac518cff964a5206ba620e3,"001052 - Soho Square , Soho",Soho Square,"['Cocktail Bar', 'Wine Bar', 'Restaurant']",,
7ef8b368d4a146eb72085599,"001052 - Soho Square , Soho",Base,['Business and Professional Services'],,
4f303344e4b050b64c023d55,"001052 - Soho Square , Soho",10 Greek Street,"['Eastern European Restaurant', 'Modern European Restaurant']",,
500589dfe4b03bef973ee81e,"001052 - Soho Square , Soho",Burger & Lobster,"['Burger Joint', 'American Restaurant', 'Seafood Restaurant']",,
4b8d716cf964a5202dfc32e3,"001052 - Soho Square , Soho",L'Escargot,['French Restaurant'],,
562a7135498ed8212cc92e62,"001052 - Soho Square , Soho",68 & Boston,"['Cocktail Bar', 'Wine Bar', 'Restaurant']",,
4ad4bf4af964a52007e920e3,"001052 - Soho Square , Soho",The Nellie Dean,"['Beer Garden', 'Pub', 'Restaurant']",,
54b85235498ef9e5ee069d54,"001052 - Soho Square , Soho",Be at One,"['Cocktail Bar', 'Restaurant']",,
4edce907c2ee3cd644c79c65,"200026 - Greenland Road, Camden Town",BrewDog Camden,"['Beer Bar', 'Burger Joint']",,
4b6c2ba2f964a52078272ce3,"200026 - Greenland Road, Camden Town",The Blues Kitchen,"['Jazz and Blues Venue', 'Wine Bar', 'American Restaurant']",,
4cec1c920f196dcb70c55bae,"200026 - Greenland Road, Camden Town",Devonshire Arms,['Pub'],,
4ae84a8ff964a52083ae21e3,"200026 - Greenland Road, Camden Town",Camden Coffee House,"['Café', 'Coffee Shop']",,
626579705282f321c1b05c3d,"200026 - Greenland Road, Camden Town",YiFang Fruit Tea Camden Town,['Bubble Tea Shop'],,
552fa1b7498ebecc18a05c82,"200026 - Greenland Road, Camden Town",Istanblue Bistro Restaurant & Cafe,"['Bistro', 'Cafes, Coffee, and Tea Houses']",,
4c1516997f7f2d7f72d9e168,"001013 - St. Chad's Street, King's Cross",Argyle Square Gardens,['Park'],,
4acf786af964a520e6d320e3,"001013 - St. Chad's Street, King's Cross",King's Cross St. Pancras London Underground Station,['Transport Hub'],,
ff8259a5f2f148cc63f09c06,"022176 - Reardon Street, Wapping",Wapping Gardens,['Park'],,
5a848b777dc9e1675d4c81a2,"001080 - Great Tower Street, Monument",BrewDog Tower Hill,"['Beer Bar', 'Restaurant']",,
5d7d15b326647600071f96ee,"001080 - Great Tower Street, Monument",Philpot Lane Mice Sculpture,"['Public Art', 'Sculpture Garden']",,
4aeb7f26f964a520b0c221e3,"001080 - Great Tower Street, Monument",Proud Cabaret,"['Lounge', 'Gastropub', 'English Restaurant']",,
4be543e72468c92859d4ff42,"001080 - Great Tower Street, Monument",Fen Court Garden,['Sculpture Garden'],,
4ad8e61af964a520cc1521e3,"001089 - Queen's Gate (Central), South Kensington",Oddono's,['Ice Cream Parlor'],,
4f856657e4b0cd08a4893b3b,"001089 - Queen's Gate (Central), South Kensington",The Ampersand Hotel,['Hotel'],,
5834b3ea5da8f457fb1d8e84,"001089 - Queen's Gate (Central), South Kensington",CERU South Kensington,['Middle Eastern Restaurant'],,
4ac518bdf964a520cea220e3,"001089 - Queen's Gate (Central), South Kensington","The Hereford Arms, South Kensington",['Bar'],,
5ad6747d3fcee836cf24c1e6,"001089 - Queen's Gate (Central), South Kensington",Lemon Shisha Lounge,['Lounge'],,
51d19f21454a583f050964f6,"001089 - Queen's Gate (Central), South Kensington",South Kensington Builders,"['Carpenter', 'General Contractor']",,
4dca7acb2271a5cb224ba972,"003428 - Pancras Road, King's Cross",St Pancras Gardens,['Park'],,
4bd303c4b221c9b679a0d8d0,"003428 - Pancras Road, King's Cross",Camley Street Natural Park,['Nature Preserve'],,
4c3e362bb8b4be9adcd2cbef,"003428 - Pancras Road, King's Cross",Purchese Street Open Space,['Park'],,
4bcb0d0efb84c9b6ce0c1e3e,"003428 - Pancras Road, King's Cross",Polygon Road open space,['Park'],,
4e7c607ab803b97a5cd6e149,"003428 - Pancras Road, King's Cross",Kings Cross Dog Park,['Dog Park'],,
4dc6c34de4cd169dc66d289f,"001054 - East Road, Hoxton",Charles Square,['Landmarks and Outdoors'],,
4acf5df2f964a52042d320e3,"001054 - East Road, Hoxton",Old Fountain,"['Pub', 'Restaurant']",,
5a08ab31dec1d60b246b1ad9,"003436 - Derry Street, Kensington",Dishoom,['Indian Restaurant'],,
4baf60fff964a52080fb3be3,"003436 - Derry Street, Kensington",Montparnasse Cafe,"['Café', 'Coffee Shop', 'French Restaurant']",,
4ac518bef964a520f2a220e3,"003436 - Derry Street, Kensington",Elephant & Castle,"['Pub', 'English Restaurant']",,
4bd491d5cfa7b713aa5b24da,"003436 - Derry Street, Kensington",Prezzo,['Italian Restaurant'],,
51a7090d501981ceef878532,"003436 - Derry Street, Kensington",Kensington Town Hall Car Park,['Parking'],,
4be41f9c2457a59391c3a915,"001033 - Paddington Street, Marylebone",Paddington Street Gardens,['Playground'],,
4f8c0e4fe4b0e5ed76ce5083,"001033 - Paddington Street, Marylebone",Madame Tussauds 4D,['Movie Theater'],,
4adb3681f964a520f02421e3,"001033 - Paddington Street, Marylebone",The Marylebone,"['Cocktail Bar', 'Restaurant']",,
4e7b7a8fb0fb5921305bda23,"001033 - Paddington Street, Marylebone",Children's Playground,['Playground'],,
4f58aa907beb8a9809cf1afd,"001033 - Paddington Street, Marylebone",Q-Park Cramer Street,['Parking'],,
4affed13f964a5204b3a22e3,"002678 - Farm Street, Mayfair",Mount Street Gardens,['Urban Park'],,
0ec6a51659534af5f9b4e4da,"002678 - Farm Street, Mayfair",Berkeley Square Gardens,['Park'],,
4bfa6d138f32ef3bc5e004aa,"002678 - Farm Street, Mayfair",Berkeley Square,['Plaza'],,
5f9ae3e37bedd9494d7bb53c,"002678 - Farm Street, Mayfair",The Connaught Patisserie,"['Bakery', 'Cafes, Coffee, and Tea Houses', 'Restaurant']",,
4ac518bff964a52047a320e3,"002678 - Farm Street, Mayfair",Benares,['Indian Restaurant'],,
519133a7498e6e48d1dafb24,"002678 - Farm Street, Mayfair",Mr Fogg's Residence,"['Arts and Entertainment', 'Wine Bar', 'Restaurant']",,
4ad20635f964a520e5de20e3,"002678 - Farm Street, Mayfair",The Punch Bowl,"['Pub', 'Restaurant']",,
5a560d9c535d6f17c1b6ba63,"002678 - Farm Street, Mayfair",Berkeley Street Bar,['Cocktail Bar'],,
4acf1a99f964a5206bd220e3,"200119 - Dorothy Road, Clapham Junction",The Fox & Hounds,"['Pub', 'Restaurant']",,
4dbe7488fa8cee72737f868a,"300068 - Humbolt Road, Fulham",Bayonne Nursery School,['Nursery School'],,
4c151d52a1010f47c9764d18,"300068 - Humbolt Road, Fulham",Lillie Recreational Park,['Park'],,
4ac518d1f964a520dba620e3,"010627 - Grosvenor Square, Mayfair",Grosvenor Square,['Park'],,
5f9ae3e37bedd9494d7bb53c,"010627 - Grosvenor Square, Mayfair",The Connaught Patisserie,"['Bakery', 'Cafes, Coffee, and Tea Houses', 'Restaurant']",,
55a56f2d498e6c5476be4b0e,"010627 - Grosvenor Square, Mayfair",The Mayfair Chippy,"['Fish and Chips Shop', 'Seafood Restaurant']",,
5d9b5232f6332c0008578bbd,"010627 - Grosvenor Square, Mayfair",Mercato Metropolitano Mayfair,['Restaurant'],,
4c8a34649ef0224b958e587b,"010627 - Grosvenor Square, Mayfair",The Rifles Club,['Playground'],,
4ddf7ef4e4cde756db342f2f,"010627 - Grosvenor Square, Mayfair",11 September Memorial Garden,['Sculpture Garden'],,
61ace3fc95cad805b047e0eb,"010627 - Grosvenor Square, Mayfair",Ever After Garden,['Sculpture Garden'],,
4ac518d1f964a520d1a620e3,"003455 - Arundel Street, Temple",Temple Gardens,['Park'],,
4e2d5ca2d164223a6994f74c,"003455 - Arundel Street, Temple",Victoria Embankment Gardens Temple Section,['Landmarks and Outdoors'],,
4fbe85fae4b0a3912de5173e,"003455 - Arundel Street, Temple",Middle Temple Garden,['Park'],,
6120dbefddb0a10357cf0916,"003455 - Arundel Street, Temple",Dodge,['Amusement Park'],,
51a47a6b498ef989137fb56c,"002637 - Bermondsey Street, Bermondsey",St Mary Magdalen Church,['Cemetery'],,
70352b66056d48ed8a3548d3,"001081 - Liverpool Road (N1 Centre), Angel",Palace Amusements,['Amusement Park'],,
e5707be7c61b459d0b562011,"001081 - Liverpool Road (N1 Centre), Angel",Gameworld,['Amusement Park'],,
e4fe3ce0ce384665160f6450,"001081 - Liverpool Road (N1 Centre), Angel",Vegas,"['Amusement Park', 'Chinese Restaurant', 'Thai Restaurant']",,
4c653793e0c4be9a4e798758,"001081 - Liverpool Road (N1 Centre), Angel",Delhi Grill,['Indian Restaurant'],,
4ac518c4f964a52073a420e3,"001081 - Liverpool Road (N1 Centre), Angel",The Angelic,['Bar'],,
5516a9c8498ec1c4b3c0bbec,"001081 - Liverpool Road (N1 Centre), Angel",Culpeper Playground,['Playground'],,
4edba2bef790c045472b749d,"001081 - Liverpool Road (N1 Centre), Angel",Itsu,['Sushi Restaurant'],,
5a63b227a35dce5151832090,"001081 - Liverpool Road (N1 Centre), Angel",Masigo,['Korean Restaurant'],,
4b9d06fbf964a520978936e3,"001081 - Liverpool Road (N1 Centre), Angel",Vue Cinemas,['Movie Theater'],,
4bc2232d461576b050e97c32,"001081 - Liverpool Road (N1 Centre), Angel",The York,"['Pub', 'Restaurant']",,
4d874db002eb548156a067f5,"200048 - Page Street, Westminster",St John's Gardens,['Park'],,
4e4fd4b5ae6051db8dd12539,"200048 - Page Street, Westminster",Vincent Street Playground,['Playground'],,
5b7913b0acc5f5003420cece,"200048 - Page Street, Westminster",Art St Kitchen,['Restaurant'],,
4e79c7627d8bb7882ac76d1e,"200048 - Page Street, Westminster",Millbank Lounge at Mint Hotel Westminster,"['Lounge', 'Restaurant']",,
4e6a11ecb993d5439f086bbf,"300249 - Westminster Pier, Westminster",Parliament Terrace,['Park'],,
4ac518cef964a520f6a520e3,"300249 - Westminster Pier, Westminster",Big Ben (Elizabeth Tower),['Monument'],,
4adf3f57f964a520ad7821e3,"300249 - Westminster Pier, Westminster",Houses of Parliament and Westminster Abbey,['Capitol Building'],,
4ac518cdf964a520e9a520e3,"300032 - Victoria & Albert Museum, South Kensington",Science Museum,['Science Museum'],,
5a09cd46e075500ceb10e292,"300032 - Victoria & Albert Museum, South Kensington",Cast Courts,['Exhibit'],,
4ac518d1f964a520dda620e3,"000984 - Finsbury Circus, Liverpool Street",Finsbury Circus,['Urban Park'],,
58851ddb89151d20aae5d69d,"000984 - Finsbury Circus, Liverpool Street",South Place Chop House,['Dining and Drinking'],,
4ac518d1f964a520d0a620e3,"001079 - Endsleigh Gardens, Euston",Tavistock Square,['Park'],,
346ab83269bf41234ba9e24f,"001079 - Endsleigh Gardens, Euston",Tavistock Square,['Landmarks and Outdoors'],,
4c9dd2938afca093ca6cfa15,"001079 - Endsleigh Gardens, Euston",Euston Station Piazza,"['Plaza', 'Pedestrian Plaza']",,
4be920ba9a54a59317b70a11,"001136 - London Zoo,  The Regent's Park",Primrose Hill Playground,['Playground'],,
4ac51183f964a52048a020e3,"001136 - London Zoo,  The Regent's Park",ZSL London Zoo,['Arts and Entertainment'],,
4df46d4dfa76abc3d8706f12,"002585 - Orsett Terrace, Bayswater",Paddington Station Public Car Park,['Parking'],,
4bc07b6dabf49521b944bf93,"003486 - St. Luke's Church, Chelsea",St Luke's Garden,['Park'],,
4b4077d4f964a52068b825e3,"003486 - St. Luke's Church, Chelsea",St Luke's Playground,['Playground'],,
4bacb537f964a520a1053be3,"003486 - St. Luke's Church, Chelsea",The Chelsea Gardener,['Garden Center'],,
511381bbe4b0085c428ddd4e,"001227 - Devonshire Terrace, Bayswater",Southall Park Day Centre,['Park'],,
4b9e7c20f964a5200ee836e3,"001227 - Devonshire Terrace, Bayswater",Tukdin Flavours of Malaysia,"['Asian Restaurant', 'Malay Restaurant']",,
4ceabab88ef78cfac689a89b,"001227 - Devonshire Terrace, Bayswater",Hapimag Resort London,['Hotel'],,
4ac518b6f964a5201ca120e3,"001227 - Devonshire Terrace, Bayswater",Best Western Mornington Hotel London Hyde Park,['Hotel'],,
4ac518b6f964a520dda020e3,"001227 - Devonshire Terrace, Bayswater",The Paddington Hotel,['Hotel'],,
4ac518b6f964a520f2a020e3,"001227 - Devonshire Terrace, Bayswater",Corus Hotel Hyde Park,['Hotel'],,
4ba865cdf964a52084d939e3,"001227 - Devonshire Terrace, Bayswater",OYO Elysee Hotel,"['Bed and Breakfast', 'Hotel']",,
4ac518b6f964a520ffa020e3,"001227 - Devonshire Terrace, Bayswater",Commodore Hotel,['Hotel'],,
61138e945d183b4e6dea302e,"300213 - Monier Road, Hackney Wick",Barkney Wick,['Coffee Shop'],,
4b1fa2eef964a520922724e3,"003444 - Penywern Road, Earl's Court",Nando's,['Restaurant'],,
4cb16e10aef16dcb00aab954,"003444 - Penywern Road, Earl's Court",YHA London Earl's Court,"['Hostel', 'Hotel']",,
4fecbd82e4b0f29a11129aca,"003444 - Penywern Road, Earl's Court",The Courtyard,"['Sculpture Garden', 'Other Great Outdoors']",,
4bafa216f964a52006123ce3,"001059 - Albert Embankment, Vauxhall","Plaza on the River, London",['Lodging'],,
4be7f1dd88ed2d7f1e39cb1d,"001059 - Albert Embankment, Vauxhall",The Black Dog,['Pub'],,
4baf7ed7f964a52095043ce3,"001186 - Belvedere Road 1, South Bank",Southbank Skate Park,['Skate Park'],,
4db2fed55da3a76f441eb742,"001186 - Belvedere Road 1, South Bank",Queen Elizabeth Hall Roof Garden,['Roof Deck'],,
4d43210a7fb05481381d7279,"001186 - Belvedere Road 1, South Bank",The Green Room,"['Bar', 'English Restaurant']",,
538cd04c498e98c029af44bf,"001186 - Belvedere Road 1, South Bank",Doon Street Car Park,['Parking'],,
5e2d9a887594ce0008020c93,"001186 - Belvedere Road 1, South Bank",Apcoa Car Park,['Parking'],,
4bcc44fc937ca593e3c3aa92,"001026 - Roscoe Street, St. Luke's",Fortune Street Park,['Park'],,
4ac518eef964a52021ad20e3,"001026 - Roscoe Street, St. Luke's",Whitecross Street Market,"['Restaurant', 'Street Food Gathering']",,
4df214cf88772e1f814dd96b,"001026 - Roscoe Street, St. Luke's",Giddy Up Coffee,"['Coffee Shop', 'Restaurant']",,
4c36021404cbb71378f5ed0d,"001026 - Roscoe Street, St. Luke's",LSO St Luke's,"['Concert Hall', 'Music Venue', 'Theater']",,
4c43004cff711b8d77491405,"003502 - Palissy Street, Shoreditch",Arnold Circus,['Monument'],,
501ad602e4b0d73e26d6be2f,"003502 - Palissy Street, Shoreditch",Virginia Garden,['Park'],,
4ac518bbf964a5200ca220e3,"003502 - Palissy Street, Shoreditch",Beigel Bake,"['Bagel Shop', 'Bakery', 'Jewish Restaurant']",,
4b81544cf964a520b89f30e3,"003502 - Palissy Street, Shoreditch",Leila's Shop,"['Bistro', 'Café', 'Coffee Shop']",,
4c28812a97d00f479ee13fea,"003439 - Tavistock Place, Bloomsbury",Brunswick Square Gardens,['Park'],,
4dbec2325da3ff58ec8142e2,"003439 - Tavistock Place, Bloomsbury",Judd Street Open Space,['Park'],,
5c9b40d01c0b34002cb93f76,"003439 - Tavistock Place, Bloomsbury",Bramber Green,['Park'],,
11d972159a284c6dcab71f06,"003439 - Tavistock Place, Bloomsbury",Brunswick Square Gardens,['Park'],,
572a73ed498ea7e4be325374,"003439 - Tavistock Place, Bloomsbury",Casa Tua,['Italian Restaurant'],,
5af41ff75a2c91002cb55d5d,"003439 - Tavistock Place, Bloomsbury",NCP London Kings Cross St Pancras,['Parking'],,
5cfe68c58496ca002c9871f0,"003439 - Tavistock Place, Bloomsbury",NCP London Brunswick Square,['Parking'],,
4b6ee6cdf964a520f1cf2ce3,"200193 - Snowsfields, London Bridge",Leathermarket Gardens,['Landmarks and Outdoors'],,
4b6ee61bf964a520cacf2ce3,"200193 - Snowsfields, London Bridge",Guy Street Park,['Playground'],,
5c94e4fbb9b37b002c6a8431,"200193 - Snowsfields, London Bridge",Vinegar Yard,['Street Food Gathering'],,
4aff302ff964a520a43522e3,"200193 - Snowsfields, London Bridge",The Leather Exchange,"['Pub', 'Sports Bar', 'Restaurant']",,
4c622ccb86b6be9a4da98b34,"200193 - Snowsfields, London Bridge",Union Car Parks,['Parking'],,
5ecb75b9cc34e600071b6e04,"200193 - Snowsfields, London Bridge",NCP London Bridge,['Parking'],,
4c21fbbc11de20a13c1084ce,"000959 - Milroy Walk, South Bank",Bernie Spain Gardens,['Park'],,
